Symbol,Name,LastSale,IPOyear,MarketCap,Sector,Industry,Exchange
AMSF,"AMERISAFE, Inc.",55.41,2005.0,1067749591.8,Finance,Property-Casualty Insurers,NASDAQ
AMGN,Amgen Inc.,203.88,1983.0,129916259466.72,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
FOLD,"Amicus Therapeutics, Inc.",12.31,2007.0,2330158435.11,Health Care,Major Pharmaceuticals,NASDAQ
AMKR,"Amkor Technology, Inc.",7.49,1998.0,1794101862.91,Technology,Semiconductors,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc.",21.94,2014.0,1011400365.98,Health Care,Major Pharmaceuticals,NASDAQ
ADI,"Analog Devices, Inc.",91.36,,33817776762.08,Technology,Semiconductors,NASDAQ
ANAB,"AnaptysBio, Inc.",73.05,2017.0,1954202772.9,Health Care,Major Pharmaceuticals,NASDAQ
ANGI,ANGI Homeservices Inc.,16.5,,8269450728.0,Consumer Services,Advertising,NASDAQ
ANSS,"ANSYS, Inc.",161.71,1996.0,13512490510.78,Technology,Computer Software: Prepackaged Software,NASDAQ
APOG,"Apogee Enterprises, Inc.",34.25,,930771150.0,Capital Goods,Auto Parts:O.E.M.,NASDAQ
APPF,"AppFolio, Inc.",61.89,2015.0,2119765177.92,Technology,Computer Software: Prepackaged Software,NASDAQ
APPN,Appian Corporation,31.16,2017.0,1983987331.72,Technology,Computer Software: Prepackaged Software,NASDAQ
AAPL,Apple Inc.,156.82,1980.0,741727706460.0,Technology,Computer Manufacturing,NASDAQ
AMAT,"Applied Materials, Inc.",35.71,1972.0,34231823581.03,Technology,Semiconductors,NASDAQ
ARCB,ArcBest Corporation,39.38,,1011676846.84,Transportation,Trucking Freight/Courier Services,NASDAQ
ACGL,Arch Capital Group Ltd.,28.48,,11526545785.6,Finance,Property-Casualty Insurers,NASDAQ
ARCE,Arco Platform Limited,22.07,2018.0,1109260865.89,Consumer Services,Other Consumer Services,NASDAQ
ARNA,"Arena Pharmaceuticals, Inc.",43.17,2000.0,2132876532.84,Health Care,Major Pharmaceuticals,NASDAQ
ARCC,Ares Capital Corporation,16.24,2004.0,6923082768.0,,,NASDAQ
ARGX,argenx SE,102.04,2017.0,2267763490.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ARRY,Array BioPharma Inc.,17.53,2000.0,3735153597.46,Health Care,Major Pharmaceuticals,NASDAQ
ARRS,ARRIS International plc,30.81,,5360799383.16,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
ARWR,"Arrowhead Pharmaceuticals, Inc.",14.52,,1339102135.8,Health Care,Major Pharmaceuticals,NASDAQ
ASND,Ascendis Pharma A/S,73.89,2015.0,2931934806.36,Health Care,Major Pharmaceuticals,NASDAQ
ASML,ASML Holding N.V.,162.7,1995.0,11039565305.2,Technology,Industrial Machinery/Components,NASDAQ
AZPN,"Aspen Technology, Inc.",90.97,1994.0,6437935710.69,Technology,EDP Services,NASDAQ
