Date,Open,High,Low,Close,Adj Close,Volume,short,mid,long
2014-01-27,1791.030029,1795.97998,1772.880005,1781.560059,1781.560059,4045200000,-0.005301471451612194,,
2014-01-28,1783.0,1793.869995,1779.4899899999998,1792.5,1792.5,3437830000,0.005313954610635108,,
2014-01-29,1790.1500239999998,1790.1500239999998,1770.449951,1774.199951,1774.199951,3964020000,-0.008949839144844596,,
2014-01-30,1777.1700440000006,1798.77002,1777.1700440000006,1794.189941,1794.189941,3547510000,0.009531397519489282,,
2014-01-31,1790.880005,1793.880005,1772.2600100000002,1782.589966,1782.589966,4059690000,-0.004639778108831649,,
2014-02-03,1782.680054,1784.8299559999994,1739.660034,1741.890015,1741.890015,4726040000,-0.023147141028198703,,
2014-02-04,1743.819946,1758.72998,1743.819946,1755.199951,1755.199951,4068410000,0.006504704437290343,,
2014-02-05,1753.380005,1755.790039,1737.9200440000006,1751.640015,1751.640015,3984290000,-0.0009928560367740147,-0.016936917585483435,
2014-02-06,1752.9899899999998,1774.060059,1752.9899899999998,1773.430054,1773.430054,3825410000,0.011592659215692969,-0.010695738564217905,
2014-02-07,1776.0100100000002,1798.030029,1776.0100100000002,1797.02002,1797.02002,3775990000,0.011760467714212908,0.012780159043301431,
2014-02-10,1796.199951,1799.939941,1791.8299559999994,1799.839966,1799.839966,3312160000,0.0020244581969111053,0.0031441194428749597,
2014-02-11,1800.449951,1823.540039,1800.410034,1819.75,1819.75,3699380000,0.01066252257432243,0.020631785174318296,
2014-02-12,1820.119995,1826.550049,1815.969971,1819.2600100000002,1819.2600100000002,3326380000,-0.0004725997366721302,0.043459091258887916,
2014-02-13,1814.819946,1830.25,1809.219971,1829.8299559999998,1829.8299559999998,3289510000,0.008236782827343525,0.04164025969561713,
2014-02-14,1828.459961,1841.6500239999998,1825.589966,1838.630005,1838.630005,3114750000,0.005546670612502247,0.0484682312848177,
2014-02-18,1839.030029,1842.869995,1835.0100100000002,1840.7600100000002,1840.7600100000002,3421110000,0.0009402607807080798,0.0372629803252984,
2014-02-19,1838.9000239999998,1847.5,1826.9899899999998,1828.75,1828.75,3661570000,-0.005534906463753764,0.01750292482262772,
2014-02-20,1829.2399899999998,1842.790039,1824.5799559999998,1839.780029,1839.780029,3404980000,0.005745440438792215,0.02194826184595655,
2014-02-21,1841.069946,1846.130005,1835.5999760000002,1836.25,1836.25,3403880000,-0.002621446505060021,0.009026319489719548,
2014-02-24,1836.780029,1858.709961,1836.780029,1847.609985,1847.609985,4014530000,0.005878849497414684,0.015463073370662883,
2014-02-25,1847.660034,1852.910034,1840.189941,1845.119995,1845.119995,3515560000,-0.0013756786922778375,0.008321271000595765,
2014-02-26,1845.790039,1852.6500239999998,1840.660034,1845.160034,1845.160034,3716730000,-0.0003413782325187853,0.003545281229677677,
2014-02-27,1844.9000239999998,1854.530029,1841.130005,1854.290039,1854.290039,3547460000,0.00507680600792515,0.007323359245623884,
2014-02-28,1855.119995,1867.9200440000002,1847.6700440000002,1859.449951,1859.449951,3917450000,0.00233133742215319,0.01664804536875586,
2014-03-03,1857.680054,1857.680054,1834.439941,1845.72998,1845.72998,3428220000,-0.006453574065846901,0.0032288373411999416,
2014-03-04,1849.22998,1876.22998,1849.22998,1873.910034,1873.910034,3765770000,0.01325784977649036,0.020301726687233845,
2014-03-05,1874.050049,1876.530029,1871.109985,1873.810059,1873.810059,3392990000,-0.00012806774714757552,0.014080918888210725,
2014-03-06,1874.180054,1881.939941,1874.180054,1877.030029,1877.030029,3360450000,0.0015194966345761785,0.017146442560108888,
2014-03-07,1878.52002,1883.569946,1870.560059,1878.040039,1878.040039,3564740000,-0.0002555428344406252,0.017662687553853473,0.05273928248286541
2014-03-10,1877.859985,1877.869995,1867.040039,1877.1700440000002,1877.1700440000002,3021350000,-0.00036747562732397654,0.012263452502952354,0.046154053509656734
2014-03-11,1878.2600100000002,1882.3499760000002,1863.880005,1867.630005,1867.630005,3392400000,-0.005675571622228759,0.0043895313387398716,0.05132066057342488
2014-03-12,1866.1500239999998,1868.380005,1854.380005,1868.199951,1868.199951,3270860000,0.0010978763209807951,0.012100521869188974,0.04042174049922043
2014-03-13,1869.060059,1874.4000239999998,1841.859985,1846.339966,1846.339966,3670990000,-0.012230379531952273,-0.014821892471590381,0.03513793887968131
2014-03-14,1845.069946,1852.439941,1839.569946,1841.130005,1841.130005,3285460000,-0.002137671614517167,-0.017594306485736233,0.05540877703202529
2014-03-17,1842.810059,1862.300049,1842.810059,1858.8299559999998,1858.8299559999998,2860490000,0.008655621266368208,-0.009743522005658534,0.05736445125066325
2014-03-18,1858.9200440000002,1873.7600100000002,1858.9200440000002,1872.25,1872.25,2930190000,0.007145218553547217,-0.0030877844327621418,0.0665884156355867
